№ пп;Субъект РФ;Муниципальное образование;Поселение;Населенный пункт;Уникальный идентификатор ФИАС;Кол-во СКД ед.;Факт СКД ед.
209;Амурская область;Ивановский Район;Троицкий сельсовет;Троицкое Село;9463f1f2-1a8c-416a-8635-d5f0a20f3ec1;1;1
210;Амурская область;Ивановский Район;Черемховский сельсовет;Богородское Село;415d05e7-909a-40ed-9684-b9447a4d9bf3;1;1
211;Амурская область;Ивановский Район;Черемховский сельсовет;Черемхово Село;9a525cab-be05-4c17-ae6a-5cbe1709d89a;1;1
212;Амурская область;Константиновский Район;;Верхний Уртуй Село;74d2e302-cefd-4976-b05e-f24209deddee;1;1
213;Амурская область;Константиновский Район;;Новотроицкое Село;94332b32-da4b-4d87-b95d-648d330a09a1;1;1
214;Амурская область;Константиновский Район;Верхнеполтавский сельсовет;Верхняя Полтавка Село;4e9b37ce-2032-4ea2-b838-aa3f0c1c1ccc;1;1
215;Амурская область;Константиновский Район;Войковский сельсовет;Войково Село;6b583cab-78cb-46ad-addc-1a0232adb0d1;1;1
216;Амурская область;Константиновский Район;Зеньковский сельсовет;Зеньковка Село;e139a959-fd74-40f8-91f2-a3ab39681610;1;1
217;Амурская область;Константиновский Район;Золотоножский сельсовет;Золотоножка Село;2d2085ae-cdfa-4af8-a6c8-ba118f3d1912;1;1
218;Амурская область;Константиновский Район;Ключевской сельсовет;Ключи Село;fe5246d5-1271-47e9-bc6c-42c404c75264;1;1
219;Амурская область;Константиновский Район;Коврижский сельсовет;Коврижка Село;dd1d0660-4e70-4d1f-8375-7d6febc3a417;1;1
220;Амурская область;Константиновский Район;Коврижский сельсовет;Октябрьское Село;9f29bf41-62d0-4bbb-b03e-4a45646cfc92;1;1
221;Амурская область;Константиновский Район;Константиновский сельсовет;Константиновка Село;985e2821-23f3-457c-af10-6c3471661681;1;1
222;Амурская область;Константиновский Район;Крестовоздвиженский сельсовет;Крестовоздвиженка Село;875f8a89-ee23-4f19-a616-487c2e6e3a96;1;1
223;Амурская область;Константиновский Район;Нижнеполтавский сельсовет;Нижняя Полтавка Село;6e493317-aaef-46dc-baf2-81cafbadc607;1;1
224;Амурская область;Константиновский Район;Новопетровский сельсовет;Новопетровка Село;8bd7666e-95df-4fa3-aa89-86a33731c893;1;1
225;Амурская область;Константиновский Район;Орловский сельсовет;Орловка Село;a011d79d-dad8-4e2a-99f9-34567c58ad17;1;1
226;Амурская область;Константиновский Район;Семидомский сельсовет;Семидомка Село;1bb10819-054c-49ab-9225-c6d9cf32de9b;1;1
227;Амурская область;Константиновский Район;Среднеполтавский сельсовет;Средняя Полтавка Село;895724cd-c6a5-446d-b4df-6ead0030a2af;1;1
228;Амурская область;Магдагачинский Район;Гонжинский сельсовет;Гонжа Село;4a6979f7-4649-4f3b-8585-3069ab04ca96;1;1
229;Амурская область;Магдагачинский Район;Гонжинский сельсовет;Кислый Ключ Село;b0709e8b-a684-49ba-9a4c-e5fda8555f12;1;1
230;Амурская область;Магдагачинский Район;Гудачинский сельсовет;Гудачи Поселок;ae0b955b-821f-4b5c-b052-412e2f00f802;1;1
231;Амурская область;Магдагачинский Район;Дактуйский сельсовет;Дактуй Село;8f18399f-06a1-4aeb-823b-77b54af9739f;1;1
232;Амурская область;Магдагачинский Район;Кузнецовский сельсовет;Кузнецово Село;751df07a-3a26-4740-8875-517fa5e57d2c;1;0
233;Амурская область;Магдагачинский Район;рабочий поселок (поселок городского типа) Магдагачи;2 нп блок-пост Красная Падь Станция;a97a26c4-06a3-450e-bff7-fddc8144df62;1;1
234;Амурская область;Магдагачинский Район;рабочий поселок (поселок городского типа) Сиваки;Сиваки Поселок городского типа;1248db56-93bf-4300-a4d4-2b62d7fc7b89;1;1
235;Амурская область;Магдагачинский Район;рабочий поселок (поселок городского типа) Ушумун;Ушумун Поселок городского типа;5d96bd31-700f-4157-a290-48232baa4627;1;1
236;Амурская область;Магдагачинский Район;Толбузинский сельсовет;Толбузино Село;a9362e31-079f-46b9-9661-ce956a622063;1;1
237;Амурская область;Магдагачинский Район;Тыгдинский сельсовет;Тыгда Село;df75c9f9-fa93-4c6b-84cc-e2ea89b6c228;1;1
238;Амурская область;Магдагачинский Район;Чалганский сельсовет;Чалганы Поселок;8f881ae2-6ea0-4057-968b-2d589c32abaf;1;1
239;Амурская область;Магдагачинский Район;Черняевский сельсовет;Черняево Село;5064416a-f6fc-4db1-af28-353276451b52;1;1
240;Амурская область;Магдагачи Район;рабочий поселок (поселок городского типа) Магдагачи;рабочий поселок (поселок городского типа) Магдагачи;7f224d22-af84-49fa-b785-8db74957e595;1;1
241;Амурская область;Мазановский Район;Белояровский сельсовет;Белоярово Село;0bf9465b-5254-4513-a43f-f2d9c26a9675;1;1
242;Амурская область;Мазановский Район;Белояровский сельсовет;Юбилейное Село;87743db3-a4bb-4034-a660-ff5212167999;1;1
243;Амурская область;Мазановский Район;Богословский сельсовет;Богословка Село;48cdf25e-24e6-4a57-b094-67712221ae7d;1;1
